node_size,seconds
1050,2313.40
1050,315.91
1050,107.41
1050,327.13
1050,528.91
1050,177.63
1050,442.38
1060,286.43
1060,720.30
1060,203.42
1060,633.82
1060,29.68
1060,264.66
1060,484.03
1060,197.26
1060,252.13
1060,526.99
1070,90.00
1070,1510.20
1070,336.79
1070,1618.12
1070,444.70
1070,327.71
1070,95.12
1070,69.59
1070,663.93
1070,53.22
1080,931.16
1080,279.52
1080,157.74
1080,44.37
1080,185.38
1080,533.94
1080,180.20
1080,138.35
1080,82.78
1080,763.12
1090,931.00
1090,6067.76
1090,48.73
1090,434.02
1090,50.56
1090,593.17
1090,131.73
1090,53.45
1090,319.68
1090,602.81
1100,202.64
1100,290.04
1100,187.72
1100,551.09
1100,444.59
1100,1538.76
1100,901.18
1100,1466.49
1100,1358.79
1100,155.76
1110,308.06
1110,164.91
1110,600.13
1110,1138.49
1110,974.41
1110,77.88
1110,46.55
1110,63.63
1110,365.07
1110,166.71
1120,239.60
1120,475.83
1120,14.45
1120,833.04
1120,285.64
1120,126.31
1120,219.91
1120,50.94
1120,201.56
1120,112.07
1130,107.35
1130,610.94
1130,466.75
1130,186.43
1130,410.81
1130,1003.81
1130,2866.90
1130,876.08
1130,453.11
1130,176.28
1140,1453.21
1140,5563.90
1140,27.65
1140,303.36
1140,268.81
1140,132.86
1140,903.18
1140,311.07
1140,203.60
1140,570.28
1150,500.65
1150,691.33
1150,75.74
1150,28654.43
1150,215.95
1150,111.35
1150,385.27
1150,3444.36
1150,648.30
1150,502.82
1160,193.19
1160,278.14
1160,350.70
1160,829.96
1160,308.35
1160,16.01
1160,425.88
1160,1535.35
1160,242.24
1160,5946.78
1170,158.90
1170,462.22
1170,134.12
1170,1862.20
1170,118.69
1170,122.60
1170,504.12
1170,134.04
1170,567.15
1170,350.25
1180,167.41
1180,1358.57
1180,376.39
1180,186.49
1180,706.67
1180,280.68
1180,352.70
1180,573.38
1180,441.31
1180,371.93
1190,425.22
1190,1964.09
1190,1603.46
1190,1069.00
1190,4253.81
1190,412.79
1190,255.57
1190,155.51
1190,79.17
1190,1375.24
1200,167.11
1200,165.79
1200,478.70
1200,1455.09
1200,129.70
1200,464.87
1200,47.37
1200,1611.18
1200,2316.37
1200,821.13
1210,436.65
1210,429.87
1210,226.00
1210,81.83
1210,1203.03
1210,691.82
1210,347.95
1210,73.16
1210,463.12
1210,1478.20
1220,384.62
1220,257.25
1220,1396.54
1220,56.43
1220,81.89
1220,1602.46
1220,304.13
1220,247.65
1220,9883.20
1220,840.91
1230,464.03
1230,96.35
1230,255.35
1230,248.27
1230,568.41
1230,543.22
1230,344.82
1230,367.79
1230,145.58
1230,873.24
1240,272.63
1240,1011.44
1240,143.66
1240,1902.15
1240,54.81
1240,381.39
1240,1215.73
1240,118.68
1240,102.70
1240,4101.46
1250,567.27
1250,657.37
1250,5208.44
1250,534.81
1250,233.95
1250,146.57
1250,292.07
1250,613.80
1250,951.13
1250,389.76
1260,543.38
1260,500.39
1260,565.99
1260,533.95
1260,357.79
1260,300.96
1260,373.74
1260,409.96
1260,505.32
1260,303.95
